"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Reservation recommended","reviewContext/Visited on","reviewContext/Wait time","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Vågsgaten 20, 5160 Laksevåg, Norway","Historical landmark","Historical landmark","18174042998654865662","Laksevåg","NO","0x463cfd300f9200e7:0xfc372bd12b7f90fe","https://lh5.googleusercontent.com/p/AF1QipOTc8KNS64KOIUtNL0v60vTJhCRXHUk0lywsGU1=w408-h306-k-no","false","true","0","60.3908724","5.2870021","Tor Arve Røssland","Laksevåg","no","false","ChIJ5wCSDzD9PEYR_pB_K9ErN_w","5160",,"4 months ago","2024-10-01T07:00:24.054Z",,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNuajRxX1ZBEAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJLPE4lyVcEPbq11U47jUEgbnKzFyck1qOrmW-jxCHqM1BrDPedyofj5J-8fxHYj-MUqNxrB45GU0Tpv-F_giYcledMeQZL9o-WJD1ZGg3Ut0mbaCEjyifVVoIHCboMB9p_kfR8s","https://lh3.googleusercontent.com/geougc-cs/AIHozJLQhb_pIRSPRDyB8WtAD-k2JV20N1LB8HLIKNvhW_M_vYUXYCMekb0qtdPqnofnQJ3M1bfcSKafU3IY5mG6AgfnO_dYSoR58hWSKr98cZnLAGkMFQjHdmOu00-aZHeHFy6H58_o",,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNuajRxX1ZBEAE!2m1!1s0x0:0xfc372bd12b7f90fe!3m1!1s2@1:CIHM0ogKEICAgICnj4q_VA%7CCgsIiLzutwYQkLjjGQ%7C?hl=en","115141483588263218035","322","https://lh3.googleusercontent.com/a-/ALV-UjX1YvdEXcTMbAOJQEleP5-dRmN5M4GwQjwzQRrEFav5eG5eSBIv=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/115141483588263218035?hl=en","12","Direct Detail URL: https://www.google.com/maps/place/Ub%C3%A5tbunkeren+Bruno/@60.3908723,5.2821312,17z/data=!4m16!1m9!3m8!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!2sUb%C3%A5tbunkeren+Bruno!8m2!3d60.3908724!4d5.2870021!9m1!1b1!16s%2Fg%2F11g6m1dk8j!3m5!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!8m2!3d60.3908724!4d5.2870021!16s%2Fg%2F11g6m1dk8j?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","3",,"Vågsgaten 20","false","Ikkje den største pryden på Laksevåg, denne betongkolossen, men eit historisk minnesmerke er det jo. Ubåtbunkeren blei forsøkt bomba under andre verdenskrig, noko som førte til at hundrevis av sivile liv gjekk tapt. Blant anna 61 barn på Holen skole, som fekk fleire fulltreffarar den 4. oktober 1944.","Not the biggest ornament on Laksevåg, this concrete colossus, but it is a historical memorial. The submarine bunker was bombed during the Second World War, which led to the loss of hundreds of civilian lives. Among other things, 61 children at Holen school, who got several full marks on 4 October 1944.","Ubåtbunkeren Bruno","4.2","en","https://www.google.com/maps/search/?api=1&query=Ub%C3%A5tbunkeren%20Bruno&query_place_id=ChIJ5wCSDzD9PEYR_pB_K9ErN_w",
"Vågsgaten 20, 5160 Laksevåg, Norway","Historical landmark","Historical landmark","18174042998654865662","Laksevåg","NO","0x463cfd300f9200e7:0xfc372bd12b7f90fe","https://lh5.googleusercontent.com/p/AF1QipOTc8KNS64KOIUtNL0v60vTJhCRXHUk0lywsGU1=w408-h306-k-no","false","true","0","60.3908724","5.2870021","Stefan Eberhardt","Laksevåg","de","false","ChIJ5wCSDzD9PEYR_pB_K9ErN_w","5160",,"6 months ago","2024-08-06T10:00:37.259Z",,,,"No","Weekday","No wait","ChZDSUhNMG9nS0VJQ0FnSURiNGFLSkpnEAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJItOWn3fbLjS5o3lqO-xQ-fAqgRUoG-9Kl2X1c-T2wbZ8nlw04SSALd2Sii0o_mkc1vFquxVuzBVGaDby0QAXt-jkm4X1a3noj4MxSIKnHQgivspwd3EQzFSDEzi1ACVZ9aqBv1Lg","https://lh3.googleusercontent.com/geougc-cs/AIHozJIgbwzrTfc6BhS17nGWauNrpEZs4fr37l9Wh0txpDB7Gn3mFP0yRUHDWp3v0bQbL9ix9gCuOLjokPKxf--BRE6Z8M2o46k3oRuTdsw6GcpUZfNHqUCTPOxJm_c0GFh6bB1S5LUh","https://lh3.googleusercontent.com/geougc-cs/AIHozJJljtps81WXkxVgO1-tCrgBLBJIrIVpVcMh3Hl6DHMRZf0_EABoO4JTaiLt79k_NXbDtsNNy0hQ1tBqV6zJFbCnDNysd4VMjik59BsfzrTW02jUQzediv_5SKe8QUxnIzB7qDx7bg","https://lh3.googleusercontent.com/geougc-cs/AIHozJJGAT2xF36dxis6A6jV6VNPuPJiDmPXARPgaIEgkKlykOfFocrEy0zky936XWU-dhgAs2BGqHELW1KIFEmyn8v9PX11ZX9MALWlcJLJiiQj0p8X5KkQ1YC9FBUZ0dTUpzFH41c","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURiNGFLSkpnEAE!2m1!1s0x0:0xfc372bd12b7f90fe!3m1!1s2@1:CIHM0ogKEICAgIDb4aKJJg%7CCgsIxejHtQYQuMryew%7C?hl=en","111012754613688738620","436","https://lh3.googleusercontent.com/a-/ALV-UjWYlzK5F-mL_gouI_h_CDh36bMmDJay3nxMp7B_A8oMMQXR6PE=s1920-c-rp-mo-ba7-br100","https://www.google.com/maps/contrib/111012754613688738620?hl=en","12","Direct Detail URL: https://www.google.com/maps/place/Ub%C3%A5tbunkeren+Bruno/@60.3908723,5.2821312,17z/data=!4m16!1m9!3m8!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!2sUb%C3%A5tbunkeren+Bruno!8m2!3d60.3908724!4d5.2870021!9m1!1b1!16s%2Fg%2F11g6m1dk8j!3m5!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!8m2!3d60.3908724!4d5.2870021!16s%2Fg%2F11g6m1dk8j?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","4",,"Vågsgaten 20","false","Ich wollte nur 1 Foto von dem Bunker machen als ich von 2 Helden der norwegischen Marine/Armee daran gehindert wurde 😂🫡😎 Na und, dann halt vom obersten Parkdeck des Einkaufszentrum (Laksevåg Senter). Peace 👻","I just wanted to take 1 photo of the bunker when I was prevented from doing so by 2 heroes from the Norwegian Navy/Army 😂🫡😎 So what, then stop from the top parking level of the shopping center (Laksevåg Senter). Peace 👻","Ubåtbunkeren Bruno","4.2","en","https://www.google.com/maps/search/?api=1&query=Ub%C3%A5tbunkeren%20Bruno&query_place_id=ChIJ5wCSDzD9PEYR_pB_K9ErN_w",
"Vågsgaten 20, 5160 Laksevåg, Norway","Historical landmark","Historical landmark","18174042998654865662","Laksevåg","NO","0x463cfd300f9200e7:0xfc372bd12b7f90fe","https://lh5.googleusercontent.com/p/AF1QipOTc8KNS64KOIUtNL0v60vTJhCRXHUk0lywsGU1=w408-h306-k-no","false","true","0","60.3908724","5.2870021","Jan Tore Johannessen","Laksevåg",,"false","ChIJ5wCSDzD9PEYR_pB_K9ErN_w","5160",,"a year ago","2023-12-05T20:44:57.261Z",,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNWOVBfalNBEAE",,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWOVBfalNBEAE!2m1!1s0x0:0xfc372bd12b7f90fe!3m1!1s2@1:CIHM0ogKEICAgICV9P_jSA%7CCgsIyZe-qwYQwMLVfA%7C?hl=en","111230529280049600795","32","https://lh3.googleusercontent.com/a-/ALV-UjVcb6e9UymzrAv1Ufg2fTEiKYT92du2kx9as7xuYpeuWwCmjWw=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/111230529280049600795?hl=en","12","Direct Detail URL: https://www.google.com/maps/place/Ub%C3%A5tbunkeren+Bruno/@60.3908723,5.2821312,17z/data=!4m16!1m9!3m8!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!2sUb%C3%A5tbunkeren+Bruno!8m2!3d60.3908724!4d5.2870021!9m1!1b1!16s%2Fg%2F11g6m1dk8j!3m5!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!8m2!3d60.3908724!4d5.2870021!16s%2Fg%2F11g6m1dk8j?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Vågsgaten 20","false",,,"Ubåtbunkeren Bruno","4.2",,"https://www.google.com/maps/search/?api=1&query=Ub%C3%A5tbunkeren%20Bruno&query_place_id=ChIJ5wCSDzD9PEYR_pB_K9ErN_w",
"Vågsgaten 20, 5160 Laksevåg, Norway","Historical landmark","Historical landmark","18174042998654865662","Laksevåg","NO","0x463cfd300f9200e7:0xfc372bd12b7f90fe","https://lh5.googleusercontent.com/p/AF1QipOTc8KNS64KOIUtNL0v60vTJhCRXHUk0lywsGU1=w408-h306-k-no","false","true","0","60.3908724","5.2870021","Antonio Negri","Laksevåg","it","false","ChIJ5wCSDzD9PEYR_pB_K9ErN_w","5160",,"a year ago","2023-09-15T20:58:45.032Z",,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNaN2V5ZFZBEAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJJGYHlxS7eybLW_VWRNclcOimOnM5tVWHUcjxGv3QSqDvExqyaT_2GIRvCkFPiRdauMPrQLDiU6S-qt5RR6N9WHbhg49D1FBd4c-jvh9Bp8p9f1B3Gu8Xd0fPKt0f2Y1S9NpDb3",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaN2V5ZFZBEAE!2m1!1s0x0:0xfc372bd12b7f90fe!3m1!1s2@1:CIHM0ogKEICAgICZ7eydVA%7CCgsIhYuTqAYQgJvHDw%7C?hl=en","112715294738172836433","766","https://lh3.googleusercontent.com/a-/ALV-UjXZXpde0sRHeMwF2VVU3WMqxRu3tc3xDRGUejzK2yZTO3hzvLHj=s1920-c-rp-mo-ba6-br100","https://www.google.com/maps/contrib/112715294738172836433?hl=en","12","Direct Detail URL: https://www.google.com/maps/place/Ub%C3%A5tbunkeren+Bruno/@60.3908723,5.2821312,17z/data=!4m16!1m9!3m8!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!2sUb%C3%A5tbunkeren+Bruno!8m2!3d60.3908724!4d5.2870021!9m1!1b1!16s%2Fg%2F11g6m1dk8j!3m5!1s0x463cfd300f9200e7:0xfc372bd12b7f90fe!8m2!3d60.3908724!4d5.2870021!16s%2Fg%2F11g6m1dk8j?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","3",,"Vågsgaten 20","false","Il nome “Bruno” deriva dalla trasposizione dell’iniziale di Bergen nell'alfabeto fonetico tedesco. Il bunker per U-Boat fu costruito  nel 1941 come base dell'undicesima flottiglia di sottomarini della Kriegsmarines.
Obiettivo di un massiccio raid aereo inglese nell'ottobre 1944 che si concluse con un disastro quando morirono 193 norvegesi, tra cui 61 bambini di una scuola vicina, senza però danneggiare il bunker.
E’ utilizzato oggi dalla Marina norvegese.","The name “Bruno” derives from the transposition of the initial of Bergen in the German phonetic alphabet. The U-Boat bunker was built in 1941 as a base for the Kriegsmarines' 11th submarine flotilla.
Target of a massive British air raid in October 1944 which ended in disaster when 193 Norwegians died, including 61 children from a nearby school, but the bunker was not damaged.
It is used today by the Norwegian Navy.","Ubåtbunkeren Bruno","4.2","en","https://www.google.com/maps/search/?api=1&query=Ub%C3%A5tbunkeren%20Bruno&query_place_id=ChIJ5wCSDzD9PEYR_pB_K9ErN_w",
